Country Name,ID,Continent Mode,Continent Name,Global Mode,Micro Nation Mode,Hints
United States of America,0,Yes,Americas,Yes,No,"The Statue of Liberty stands as a symbol of freedom and democracy.
Home of Hollywood, the historic center of movie studios and stars.
A melting pot of cultures with a rich history in jazz music."
China,1,Yes,Asia,Yes,No,"The Great Wall winds like a dragon through the country's northern borders.
Rapidly growing global superpower with a deep history of dynasties.
Famous for panda conservation efforts and traditional Chinese medicine"
Germany,2,Yes,Europe,Yes,No,"Known for its engineering excellence and the world-famous Oktoberfest.
Berlin Wall remnants stand as a historical lesson in unity.
The Autobahn showcases a passion for cars and no speed limits."
Japan,3,Yes,Asia,Yes,No,"Land of the Rising Sun, where ancient traditions meet futuristic technology.
Famous for Mount Fuji, cherry blossoms, and a unique anime culture.
Culinary excellence symbolized by sushi and meticulous food preparation."
India,4,Yes,Asia,Yes,No,"The Taj Mahal in Agra is a monument of enduring love.
A vast nation where Bollywood movies and spicy cuisine thrive.
Rich in diversity, from the Himalayas to the Indian Ocean coastlines."
United Kindom,5,Yes,Europe,Yes,No,"The British monarchy captivates many with centuries of royal history.
Iconic double-decker buses and the Big Ben clock are London staples.
A literary goldmine, the birthplace of Shakespeare and modern English."
France,6,Yes,Europe,Yes,No,"The Louvre Museum holds the world-renowned Mona Lisa painting.
French cuisine is celebrated globally, from fine wines to delicate pastries.
Paris, the city of love, is famed for fashion, art, and the Eiffel Tower."
Italy,7,Yes,Europe,Yes,No,"Home of the ancient Roman Empire and masterpieces of Renaissance art.
Culinary heartland famous for pasta, pizza, and rich regional diversity.
Venice's romantic canals and the historic Colosseum in Rome draw millions."
Brazil,8,Yes,Americas,Yes,No,"The Amazon Rainforest breathes life as the planet's lungs.
Celebrated for the spirited carnival and the iconic Christ the Redeemer.
Football is a way of life, producing many of the world's best players."
Canada,9,Yes,Americas,Yes,No,"Expansive natural landscapes with the majestic Rocky Mountains.
The cultural mosaic is celebrated through bilingualism and multicultural cities.
Renowned for friendly locals, maple syrup, and harsh winters."
Russia,10,Yes,Europe,Yes,No,"The vast expanse of Siberia and the cultural richness of the Kremlin.
Ballet, classical music, and literature are pillars of cultural heritage.
The Trans-Siberian Railway spans across continents from Europe to Asia."
Mexico,11,Yes,Americas,Yes,No,"Rich pre-Columbian history manifesting in Mayan and Aztec ruins.
Vibrant traditions, Dia de los Muertos, and spicy street food.
Cancun's beaches and the bustling metropolis of Mexico City captivate tourists."
South Korea,12,Yes,Asia,Yes,No,"A tech-savvy nation known for K-pop, Samsung, and skincare innovations.
The demilitarized zone stands as a reminder of a country divided.
Traditional Hanok villages contrast with Seoul�s futuristic skyline."
Australia,13,No,Oceania,Yes,No,"The Outback's red deserts contrast with the Great Barrier Reef's blue waters.
Unique wildlife includes kangaroos, koalas, and venomous species.
Indigenous Aboriginal culture weaves a rich tapestry of the country�s heritage."
Spain,14,Yes,Europe,Yes,No,"Flamenco music and dance embody the vibrant Spanish culture.
Home to historical cities like Barcelona and Madrid, rich in art and life.
Culinary treats from paella to tapas are integral to social life."
Indonesia,15,Yes,Asia,Yes,No,"An archipelago with over seventeen thousand islands, including Bali.
Rich biodiversity including orangutans and ancient Komodo dragons.
A cultural mosaic with hundreds of ethnic groups and languages."
Turkey,16,Yes,Europe,Yes,No,"A historic crossroads of civilizations, bridging Asia and Europe.
Istanbul's Grand Bazaar, ancient Hagia Sophia, and the Bosphorus Strait.
Renowned for its flavorful cuisine, Turkish coffee, and delight."
Netherlands,17,Yes,Europe,Yes,No,"Famous for tulips, windmills, and an extensive network of canals.
A leading advocate for human rights and international law.
Bicycle-friendly cities with a rich art history including Van Gogh"
Saudi Arabia,18,Yes,Asia,Yes,No,"The birthplace of Islam, housing the holy cities of Mecca and Medina.
An oil-rich kingdom rapidly diversifying its economy and culture.
Red Sea coral reefs and the ancient Nabatean city of Hegra."
Switzerland,19,Yes,Europe,Yes,No,"Neutral ground with a tradition of diplomacy and international peacekeeping.
Famous for the Alps, luxury watches, and quality chocolate.
A financial hub with a reputation for privacy and efficiency."
Poland,20,Yes,Europe,Yes,No,"Historical resilience shown through cities like Warsaw and Krakow.
Rich in medieval architecture and modern post-communist transformation.
Traditional cuisine like pierogi and kielbasa enjoyed nationwide"
Taiwan,21,Yes,Asia,Yes,No,"A democratic success story known for electronics and vibrant democracy.
The towering Taipei 101 reflects a modern face amid traditional culture.
Night markets buzz with delicious street food and lively atmosphere."
Belgium,22,Yes,Europe,Yes,No,"Enchanting medieval towns and Renaissance architecture dot the country.
Renowned for crafting fine chocolates, beers, and diamond trading.
Headquarters of the European Union and NATO in the heart of Europe."
Argentina,23,Yes,Americas,Yes,No,"The land of the tango, pampas, and the passionate dance of soccer.
Dramatic landscapes from the Iguazu Falls to the Patagonian glaciers.
Cultural heritage shines in Buenos Aires, the Paris of South America."
Sweden,24,Yes,Europe,Yes,No,"Known for a high quality of life and a strong welfare state.
The natural beauty of the Northern Lights and vast Arctic wilderness.
A global music powerhouse, from ABBA to modern pop producers."
Ireland,25,Yes,Europe,Yes,No,"A land of myths and legends, from leprechauns to literary giants.
Rolling green hills, rugged coastlines, and the Giant's Causeway.
The warmth of Irish pubs and the joy of traditional folk music."
Norway,26,Yes,Europe,Yes,No,"Famed for stunning fjords, polar explorers, and Viking history.
Oil wealth funds a comprehensive social welfare system and cultural projects.
Winter sports thrive here, set against the backdrop of the Northern Lights."
Austria,27,Yes,Europe,Yes,No,"Birthplace of classical music legends like Mozart and Schubert.
Alpine skiing destinations and the cultural grandeur of Vienna.
Known for its historic castles, palaces, and the Vienna Opera Ball."
Venezuela,28,Yes,Americas,Yes,No,
Thailand,29,Yes,Asia,Yes,No,"Tropical beaches, ornate temples, and the vibrant streets of Bangkok.
A culinary paradise with dishes like Pad Thai and Tom Yum Goong.
Celebrated for its warm hospitality and colorful cultural festivals."
United Arab Emirates,30,Yes,Asia,Yes,No,"A federation known for luxury shopping, ultramodern architecture, and a vibrant expat community.
The towering Burj Khalifa in Dubai and the rich art of the Louvre Abu Dhabi.
Advances in technology, renewable energy, and space exploration signify its ambitions."
Singapore,31,Yes,Asia,Yes,Yes,"A city-state known for its rigorous governance and lush garden landscapes.
The iconic Marina Bay Sands and the enchanting Gardens by the Bay.
A melting pot of cultures with a reputation for cleanliness and safety."
Bangladesh,32,Yes,Asia,Yes,No,"The Sundarbans mangrove forest is home to the royal Bengal tiger.
A land of rivers, with the Ganges delta creating fertile landscapes.
Rapid economic growth driven by the textile and garments industry."
Philippines,33,Yes,Asia,Yes,No,"Over seven thousand islands featuring stunning beaches and biodiversity.
Heartwarming hospitality and a vibrant blend of Asian and Spanish cultures.
The colorful jeepney is a symbol of resourcefulness and artistry."
Vietnam,34,Yes,Asia,Yes,No,"Known for the lush Mekong Delta, bustling Hanoi, and scenic Halong Bay.
A rich history from ancient dynasties to the Vietnam War.
Culinary fame with dishes like pho, banh mi, and fresh spring rolls."
Malaysia,35,Yes,Asia,Yes,No,"Known for the lush Mekong Delta, bustling Hanoi, and scenic Halong Bay.
A rich history from ancient dynasties to the Vietnam War.
Culinary fame with dishes like pho, banh mi, and fresh spring rolls."
Denmark,36,Yes,Europe,Yes,No,"Known for the lush Mekong Delta, bustling Hanoi, and scenic Halong Bay.
A rich history from ancient dynasties to the Vietnam War.
Culinary fame with dishes like pho, banh mi, and fresh spring rolls."
